,review
10,"I rarely eat Italian food, but for some odd reason, I was really craving some pasta! Thankfully, my boyfriend is always down to try new restos with me, so we decided to venture to Bottega for a nice and romantic Valentine's Day dinner.The food here was PHENOMENAL. We started off with complimentary foccacia, which was warm, toasted, and flavorful. We then split a spaghetti and meatball dish plus a branzino plate (which our server split into two dishes for us without even asking!) As previous Yelpers have mentioned, Bottega nails the al dente game. I instantly fell in love with the bite and chew of their spaghetti pasta, and I thought the meatballs were both juicy and tender. I also have nothing but fabulous things to say about their branzino. My favorite part was the crispy skin!Even when we're not celebrating Valentine's Day, I would gladly take my boyfriend back here for even a casual dinner out. Bottega exceeded my expectations, and I can't wait for the next opportunity to go back!"
11,"This place has such a cute interior like a little cottage inside. We came for lunch and got a couple of things to share. I really liked everything that we ordered, but definitely had some favorite dishes. The staff was also super friendly & nice, checking in on us and giving us recommendations. ~ pomodori bruschetta 4/5~ calamari fritti 5/5~ mezzemaniche boscaiola 4.5/5~ mezzelune ai porcini 4/5~ prosciutto pizza 4.5/5~ salmon fettucine 3/5"
12,"Was invited to join a couple friends for lunch who consider this spot their go-to Italian place. To be honest, last time I was here I was not impressed, so I agreed to tag along and give it another shot. This time I decided to only order dishes my friends recommended, to get the best chance of success.SOUP OF THE DAY ($8): The soup of the day was a purple cauliflower purée, drizzled with olive oil. Surprisingly this was actually my favorite dish. It had earthy base notes, and paired with the spiciness of the evoo, really made this soup shine. I even added a bit more evoo after the top layer disappeared.MEZZEMANICHE BOSCAIOLA ($28): rigatoni, mushroom, onion, italian sausage, we decided to order this with pink sauce. This was my least favorite dish, the taste of the sauce was just okay, to me it had a manufactured / canned sauce taste. The pasta here had a gummy texture, too al dente for me.CHICKEN PARMIGIANA ($24): lightly breaded chicken breast with mozzarella & rigatoni pasta. I enjoyed this more than the mezzemaniche boscaiola. But to me it wasn't anything special, I'd consider it something on par with Cheesecake Factory's version. The pasta underneath was overcooked and not al dente, but that didn't bother me as much as the sauce being unremarkable. Chicken was cooked nicely tho!LASAGNA ($20): baked housemade pasta sheets with ragu bolognese sauce. This might've been my favorite entree. The sauce base flavors was pretty much the same as the last dishes, but what helped elevate it was the bolognese sauce, aka the meat/beef. The pasta sheets was slightly more overcooked than I'd like, preferred more al dente here. (Side note: Actually my favorite part of lasagna is when the corner pieces become a bit crispy, which was absent here)SERVICE: Had no complaints with the service, as with most Italian places, things are slowed down a bit. Just something to note, they explain the dishes so quickly in a thick Italian accent, which makes it really hard to understand.AMBIANCE: The ambiance of this place is so nice, the brick wall and the decor inside make this place a really nice date spot. The outdoor seating area also looks pretty.Overall, I probably won't come back unless if I'm tagging along with friends again."
13,"I recently dined at this charming restaurant. I must say, it was an amazing experience. From the moment I stepped in, I was impressed by the ambiance, complete with well-dimmed lighting that set the perfect romantic mood. My pasta dish was fantastic and bursting with flavor. The service was great, with attentive staff who made me feel welcomed and well taken care of, despite dining alone at the bar. Overall, I highly recommend this restaurant for a date night or any special occasion. I can't wait to return with friends - it left such a lasting impression that I would be back in a heartbeat. I'm excited to try additional plates. *After your meal there's an amazing bakery just across the street. It's a must try too!*"
14,"Love this place, you can count on this place for good, hearty, consistent Italian food. Their price is very approachable for the quality of food you pay for. Tiramisu is great! Usually packed so make sure you account for the wait! We always come after 9 and can find seats quickly."
15,"3.5/5 My friend discovered Bottega on a whim so he made a quick reservation on Resy. We were a party of 7 and at the time, their layout on the floor did not have a table for us but they were able to rearrange the tables to create a big enough table for us. They're very accommodating so we appreciated that. After a couple at the table next to us were done and left, the staff added their table to ours to create more space for us which worked out perfectly because 2 people in our party got added and it was just the right amount of table space. They have complimentary focaccia bread here with olive oil which we were very excited about. We ordered a few appetizers to start: funghi bruschetta, burrata aila caprese, pohodori bruschetta, and carciofi (artichoke hearts). All of these were great starters. I was the most impressed with the pohodori bruschetta which just looks like chopped tomatoes on bread but the tomatoes had so much flavor that you couldn't even taste the tomato flavor. The burrata was great paired with the complimentary bread. The carrciofi was delicious paired with the garlic aioli that comes with it. The truffle oil was very fragrant and strong on the funghi bruschetta but it was a crowd favorite. For the main dishes, I ordered the Spaghetti con Le Polpette which is your basic spaghetti and meatballs. I enjoyed the spaghetti noodles but thought the meatballs lacked something. My friends ordered the gnocchi in pink sauce and the meezelune al porcini and those were bomb. I enjoyed their dishes more than mine. The ambiance and service were pretty good though we did feel like the servers kept their eyes on us quite a lot near the end of our dinner. I definitely recommend to visit at least one time!"
16,"The interior of this restaurant is so beautiful! It was well sun lit inside and we were seated immediately on a Sunday afternoon.We ended up getting the Gnocchi with Bolognese, the daily Pasta Special which included a variety of seafood with a tomato sauce (our personal favorite!) and the Mezzemaniche Boscaiola with the pink sauce. The pastas were really tasty but we made the mistake of ordering 3 tomato based pastas instead of trying a white sauce haha. Another thing to note is that the Bolognese sauce is an additional cost! We ordered the Gnocchi thinking the Bolognese was one of the choices of sauces included in the price, as the menu doesn't make it clear, and it ended up being an additional $6 on top of the $19."
17,"Ambiance :5/5Food:3.5/5Service: 5/5Food came out accordingly but I feel that the busser or table runners planned to charge us for water. Instead of giving us regular table water they gave us a bottle when we first sat down and was charged for it without our knowledge. Felt sus. We had to pay it in the end bc we ended up drinking it. Our server was great and super helpful and looked even confused why we were given a bottle before she arrived to our table. Ambiance was very nice and lots of decor. Pasta was all fresh and delicious, one spaghetti and meatball dish our table ordered was a little undercooked but he didn't bring it up. Burrata and crab cakes were delicious. I had the rigatoni and it was great texture and flavor, the lobster ravioli was great in terms of sauce and texture. The margarita pizza was a little bit of a disappointment, it came out a regular cheese pizza instead with one basil leaf to distinguish it as such."
18,"I came to visit Bottega for a date night. It was our first time at the restaurant and we ordered the pasta. We were about to try a build your own pasta and the waiter recommended that the combinations we had simply did not work. Since they were confident on their word, we asked for a recommendation and opted for the salmon fettuccini. We paired it with some wine. Delicious pasta and very true italian food. The pasta was fresh to the point it was probably made in house. I was so full off of half of the plate; my boyfriend finished his order. The ambiance is quite picturesque and great for a date night"
19,"Quality food and quality time. The ambiance and service is top tier. This place almost felt hidden and tucked away, which was relaxing.Ordered the burrata, calamari and truffle fries for an appetizer. For our main dishes we shared the chicken Parmesan & lobster ravioli.Appetizers were all great. The calamari was the best of course, just a tad bit salty! The star of the show for me was the chicken Parmesan. I will 10000% be back for that dish alone if not just to feel tucked away in the city.I would skip the lobster ravioli. The pasta was undercooked, not too much lobster for the cost."
20,"This place has such a cute interior like a little cottage inside. We came for lunch and got a couple of things to share. I really liked everything that we ordered, but definitely had some favorite dishes. The staff was also super friendly & nice, checking in on us and giving us recommendations. ~ pomodori bruschetta 4/5~ calamari fritti 5/5~ mezzemaniche boscaiola 4.5/5~ mezzelune ai porcini 4/5~ prosciutto pizza 4.5/5~ salmon fettucine 3/5"
21,"Was invited to join a couple friends for lunch who consider this spot their go-to Italian place. To be honest, last time I was here I was not impressed, so I agreed to tag along and give it another shot. This time I decided to only order dishes my friends recommended, to get the best chance of success.SOUP OF THE DAY ($8): The soup of the day was a purple cauliflower purée, drizzled with olive oil. Surprisingly this was actually my favorite dish. It had earthy base notes, and paired with the spiciness of the evoo, really made this soup shine. I even added a bit more evoo after the top layer disappeared.MEZZEMANICHE BOSCAIOLA ($28): rigatoni, mushroom, onion, italian sausage, we decided to order this with pink sauce. This was my least favorite dish, the taste of the sauce was just okay, to me it had a manufactured / canned sauce taste. The pasta here had a gummy texture, too al dente for me.CHICKEN PARMIGIANA ($24): lightly breaded chicken breast with mozzarella & rigatoni pasta. I enjoyed this more than the mezzemaniche boscaiola. But to me it wasn't anything special, I'd consider it something on par with Cheesecake Factory's version. The pasta underneath was overcooked and not al dente, but that didn't bother me as much as the sauce being unremarkable. Chicken was cooked nicely tho!LASAGNA ($20): baked housemade pasta sheets with ragu bolognese sauce. This might've been my favorite entree. The sauce base flavors was pretty much the same as the last dishes, but what helped elevate it was the bolognese sauce, aka the meat/beef. The pasta sheets was slightly more overcooked than I'd like, preferred more al dente here. (Side note: Actually my favorite part of lasagna is when the corner pieces become a bit crispy, which was absent here)SERVICE: Had no complaints with the service, as with most Italian places, things are slowed down a bit. Just something to note, they explain the dishes so quickly in a thick Italian accent, which makes it really hard to understand.AMBIANCE: The ambiance of this place is so nice, the brick wall and the decor inside make this place a really nice date spot. The outdoor seating area also looks pretty.Overall, I probably won't come back unless if I'm tagging along with friends again."
22,"I recently dined at this charming restaurant. I must say, it was an amazing experience. From the moment I stepped in, I was impressed by the ambiance, complete with well-dimmed lighting that set the perfect romantic mood. My pasta dish was fantastic and bursting with flavor. The service was great, with attentive staff who made me feel welcomed and well taken care of, despite dining alone at the bar. Overall, I highly recommend this restaurant for a date night or any special occasion. I can't wait to return with friends - it left such a lasting impression that I would be back in a heartbeat. I'm excited to try additional plates. *After your meal there's an amazing bakery just across the street. It's a must try too!*"
23,"Love this place, you can count on this place for good, hearty, consistent Italian food. Their price is very approachable for the quality of food you pay for. Tiramisu is great! Usually packed so make sure you account for the wait! We always come after 9 and can find seats quickly."
24,"3.5/5 My friend discovered Bottega on a whim so he made a quick reservation on Resy. We were a party of 7 and at the time, their layout on the floor did not have a table for us but they were able to rearrange the tables to create a big enough table for us. They're very accommodating so we appreciated that. After a couple at the table next to us were done and left, the staff added their table to ours to create more space for us which worked out perfectly because 2 people in our party got added and it was just the right amount of table space. They have complimentary focaccia bread here with olive oil which we were very excited about. We ordered a few appetizers to start: funghi bruschetta, burrata aila caprese, pohodori bruschetta, and carciofi (artichoke hearts). All of these were great starters. I was the most impressed with the pohodori bruschetta which just looks like chopped tomatoes on bread but the tomatoes had so much flavor that you couldn't even taste the tomato flavor. The burrata was great paired with the complimentary bread. The carrciofi was delicious paired with the garlic aioli that comes with it. The truffle oil was very fragrant and strong on the funghi bruschetta but it was a crowd favorite. For the main dishes, I ordered the Spaghetti con Le Polpette which is your basic spaghetti and meatballs. I enjoyed the spaghetti noodles but thought the meatballs lacked something. My friends ordered the gnocchi in pink sauce and the meezelune al porcini and those were bomb. I enjoyed their dishes more than mine. The ambiance and service were pretty good though we did feel like the servers kept their eyes on us quite a lot near the end of our dinner. I definitely recommend to visit at least one time!"
25,"The interior of this restaurant is so beautiful! It was well sun lit inside and we were seated immediately on a Sunday afternoon.We ended up getting the Gnocchi with Bolognese, the daily Pasta Special which included a variety of seafood with a tomato sauce (our personal favorite!) and the Mezzemaniche Boscaiola with the pink sauce. The pastas were really tasty but we made the mistake of ordering 3 tomato based pastas instead of trying a white sauce haha. Another thing to note is that the Bolognese sauce is an additional cost! We ordered the Gnocchi thinking the Bolognese was one of the choices of sauces included in the price, as the menu doesn't make it clear, and it ended up being an additional $6 on top of the $19."
26,"Ambiance :5/5Food:3.5/5Service: 5/5Food came out accordingly but I feel that the busser or table runners planned to charge us for water. Instead of giving us regular table water they gave us a bottle when we first sat down and was charged for it without our knowledge. Felt sus. We had to pay it in the end bc we ended up drinking it. Our server was great and super helpful and looked even confused why we were given a bottle before she arrived to our table. Ambiance was very nice and lots of decor. Pasta was all fresh and delicious, one spaghetti and meatball dish our table ordered was a little undercooked but he didn't bring it up. Burrata and crab cakes were delicious. I had the rigatoni and it was great texture and flavor, the lobster ravioli was great in terms of sauce and texture. The margarita pizza was a little bit of a disappointment, it came out a regular cheese pizza instead with one basil leaf to distinguish it as such."
27,"I came to visit Bottega for a date night. It was our first time at the restaurant and we ordered the pasta. We were about to try a build your own pasta and the waiter recommended that the combinations we had simply did not work. Since they were confident on their word, we asked for a recommendation and opted for the salmon fettuccini. We paired it with some wine. Delicious pasta and very true italian food. The pasta was fresh to the point it was probably made in house. I was so full off of half of the plate; my boyfriend finished his order. The ambiance is quite picturesque and great for a date night"
28,"Quality food and quality time. The ambiance and service is top tier. This place almost felt hidden and tucked away, which was relaxing.Ordered the burrata, calamari and truffle fries for an appetizer. For our main dishes we shared the chicken Parmesan & lobster ravioli.Appetizers were all great. The calamari was the best of course, just a tad bit salty! The star of the show for me was the chicken Parmesan. I will 10000% be back for that dish alone if not just to feel tucked away in the city.I would skip the lobster ravioli. The pasta was undercooked, not too much lobster for the cost."
29,"Bottega surprisingly had dishes that seemed unique to other italian restaurants I've been to. The interior was pretty dark and they actually have these table lamps that they turn on for you, with just a bit of ambiance on the ceilings and walls. I got a seat with my two friends in the back corner so I didn't have too much incentive to look around. It was the day before Thanksgiving so maybe we got really lucky with the timing and managed to get a seat. By the time we were done, the restaurant was about to fill up.Their complimentary bread is very good. If I go to a restaurant and I enjoy their bread, it speaks volumes from my perspective. They have dried tomato in some of the pieces which adds a light kick. Olive oil on the side if thats your thing.I got the salmon fettuccine and it was pleasantly soft to bite into the salmon. Most of the time I get a salmon dish at italian restaurant, I often get displeased that the fish has been cooked too long. Then again, not my recipe. They add this sauce which they refer to as 'pink' and I'd say it makes the whole dish creamier. Not too bland, and not too overpowering. Really enjoyed it. I didn't try the other dishes but I didn't even recognize that my friend got ravioli so A+ for how their dishes stand out! The two tables next to me had my head turned every so often to look at the dish they ordered.I'd say if you are in the area and are craving some italian food, definitely try this spot out! I'd come again on a date for sure. The service here is excellent as well since they often come to check up on you."
30,"Was invited to join a couple friends for lunch who consider this spot their go-to Italian place. To be honest, last time I was here I was not impressed, so I agreed to tag along and give it another shot. This time I decided to only order dishes my friends recommended, to get the best chance of success.SOUP OF THE DAY ($8): The soup of the day was a purple cauliflower purée, drizzled with olive oil. Surprisingly this was actually my favorite dish. It had earthy base notes, and paired with the spiciness of the evoo, really made this soup shine. I even added a bit more evoo after the top layer disappeared.MEZZEMANICHE BOSCAIOLA ($28): rigatoni, mushroom, onion, italian sausage, we decided to order this with pink sauce. This was my least favorite dish, the taste of the sauce was just okay, to me it had a manufactured / canned sauce taste. The pasta here had a gummy texture, too al dente for me.CHICKEN PARMIGIANA ($24): lightly breaded chicken breast with mozzarella & rigatoni pasta. I enjoyed this more than the mezzemaniche boscaiola. But to me it wasn't anything special, I'd consider it something on par with Cheesecake Factory's version. The pasta underneath was overcooked and not al dente, but that didn't bother me as much as the sauce being unremarkable. Chicken was cooked nicely tho!LASAGNA ($20): baked housemade pasta sheets with ragu bolognese sauce. This might've been my favorite entree. The sauce base flavors was pretty much the same as the last dishes, but what helped elevate it was the bolognese sauce, aka the meat/beef. The pasta sheets was slightly more overcooked than I'd like, preferred more al dente here. (Side note: Actually my favorite part of lasagna is when the corner pieces become a bit crispy, which was absent here)SERVICE: Had no complaints with the service, as with most Italian places, things are slowed down a bit. Just something to note, they explain the dishes so quickly in a thick Italian accent, which makes it really hard to understand.AMBIANCE: The ambiance of this place is so nice, the brick wall and the decor inside make this place a really nice date spot. The outdoor seating area also looks pretty.Overall, I probably won't come back unless if I'm tagging along with friends again."
31,"I recently dined at this charming restaurant. I must say, it was an amazing experience. From the moment I stepped in, I was impressed by the ambiance, complete with well-dimmed lighting that set the perfect romantic mood. My pasta dish was fantastic and bursting with flavor. The service was great, with attentive staff who made me feel welcomed and well taken care of, despite dining alone at the bar. Overall, I highly recommend this restaurant for a date night or any special occasion. I can't wait to return with friends - it left such a lasting impression that I would be back in a heartbeat. I'm excited to try additional plates. *After your meal there's an amazing bakery just across the street. It's a must try too!*"
32,"Love this place, you can count on this place for good, hearty, consistent Italian food. Their price is very approachable for the quality of food you pay for. Tiramisu is great! Usually packed so make sure you account for the wait! We always come after 9 and can find seats quickly."
33,"3.5/5 My friend discovered Bottega on a whim so he made a quick reservation on Resy. We were a party of 7 and at the time, their layout on the floor did not have a table for us but they were able to rearrange the tables to create a big enough table for us. They're very accommodating so we appreciated that. After a couple at the table next to us were done and left, the staff added their table to ours to create more space for us which worked out perfectly because 2 people in our party got added and it was just the right amount of table space. They have complimentary focaccia bread here with olive oil which we were very excited about. We ordered a few appetizers to start: funghi bruschetta, burrata aila caprese, pohodori bruschetta, and carciofi (artichoke hearts). All of these were great starters. I was the most impressed with the pohodori bruschetta which just looks like chopped tomatoes on bread but the tomatoes had so much flavor that you couldn't even taste the tomato flavor. The burrata was great paired with the complimentary bread. The carrciofi was delicious paired with the garlic aioli that comes with it. The truffle oil was very fragrant and strong on the funghi bruschetta but it was a crowd favorite. For the main dishes, I ordered the Spaghetti con Le Polpette which is your basic spaghetti and meatballs. I enjoyed the spaghetti noodles but thought the meatballs lacked something. My friends ordered the gnocchi in pink sauce and the meezelune al porcini and those were bomb. I enjoyed their dishes more than mine. The ambiance and service were pretty good though we did feel like the servers kept their eyes on us quite a lot near the end of our dinner. I definitely recommend to visit at least one time!"
34,"The interior of this restaurant is so beautiful! It was well sun lit inside and we were seated immediately on a Sunday afternoon.We ended up getting the Gnocchi with Bolognese, the daily Pasta Special which included a variety of seafood with a tomato sauce (our personal favorite!) and the Mezzemaniche Boscaiola with the pink sauce. The pastas were really tasty but we made the mistake of ordering 3 tomato based pastas instead of trying a white sauce haha. Another thing to note is that the Bolognese sauce is an additional cost! We ordered the Gnocchi thinking the Bolognese was one of the choices of sauces included in the price, as the menu doesn't make it clear, and it ended up being an additional $6 on top of the $19."
35,"Ambiance :5/5Food:3.5/5Service: 5/5Food came out accordingly but I feel that the busser or table runners planned to charge us for water. Instead of giving us regular table water they gave us a bottle when we first sat down and was charged for it without our knowledge. Felt sus. We had to pay it in the end bc we ended up drinking it. Our server was great and super helpful and looked even confused why we were given a bottle before she arrived to our table. Ambiance was very nice and lots of decor. Pasta was all fresh and delicious, one spaghetti and meatball dish our table ordered was a little undercooked but he didn't bring it up. Burrata and crab cakes were delicious. I had the rigatoni and it was great texture and flavor, the lobster ravioli was great in terms of sauce and texture. The margarita pizza was a little bit of a disappointment, it came out a regular cheese pizza instead with one basil leaf to distinguish it as such."
36,"I came to visit Bottega for a date night. It was our first time at the restaurant and we ordered the pasta. We were about to try a build your own pasta and the waiter recommended that the combinations we had simply did not work. Since they were confident on their word, we asked for a recommendation and opted for the salmon fettuccini. We paired it with some wine. Delicious pasta and very true italian food. The pasta was fresh to the point it was probably made in house. I was so full off of half of the plate; my boyfriend finished his order. The ambiance is quite picturesque and great for a date night"
37,"Quality food and quality time. The ambiance and service is top tier. This place almost felt hidden and tucked away, which was relaxing.Ordered the burrata, calamari and truffle fries for an appetizer. For our main dishes we shared the chicken Parmesan & lobster ravioli.Appetizers were all great. The calamari was the best of course, just a tad bit salty! The star of the show for me was the chicken Parmesan. I will 10000% be back for that dish alone if not just to feel tucked away in the city.I would skip the lobster ravioli. The pasta was undercooked, not too much lobster for the cost."
38,"Bottega surprisingly had dishes that seemed unique to other italian restaurants I've been to. The interior was pretty dark and they actually have these table lamps that they turn on for you, with just a bit of ambiance on the ceilings and walls. I got a seat with my two friends in the back corner so I didn't have too much incentive to look around. It was the day before Thanksgiving so maybe we got really lucky with the timing and managed to get a seat. By the time we were done, the restaurant was about to fill up.Their complimentary bread is very good. If I go to a restaurant and I enjoy their bread, it speaks volumes from my perspective. They have dried tomato in some of the pieces which adds a light kick. Olive oil on the side if thats your thing.I got the salmon fettuccine and it was pleasantly soft to bite into the salmon. Most of the time I get a salmon dish at italian restaurant, I often get displeased that the fish has been cooked too long. Then again, not my recipe. They add this sauce which they refer to as 'pink' and I'd say it makes the whole dish creamier. Not too bland, and not too overpowering. Really enjoyed it. I didn't try the other dishes but I didn't even recognize that my friend got ravioli so A+ for how their dishes stand out! The two tables next to me had my head turned every so often to look at the dish they ordered.I'd say if you are in the area and are craving some italian food, definitely try this spot out! I'd come again on a date for sure. The service here is excellent as well since they often come to check up on you."
39,"This is truly a beautiful restaurant with gorgeous pink hues and floral accents.The complimentary bread, a rare treat nowadays, was quite good. Our waiter made ordering our meals such a breeze by offering  insightful recommendations. I opted for the Mezzemaniche Boscaiola with pink sauce, it was so delicious! The staff's thoughtful gesture of singing Happy Birthday for my friend's birthday and presenting a complimentary panna cotta added a thoughtful and sweet touch to the overall experience."
40,"I recently dined at this charming restaurant. I must say, it was an amazing experience. From the moment I stepped in, I was impressed by the ambiance, complete with well-dimmed lighting that set the perfect romantic mood. My pasta dish was fantastic and bursting with flavor. The service was great, with attentive staff who made me feel welcomed and well taken care of, despite dining alone at the bar. Overall, I highly recommend this restaurant for a date night or any special occasion. I can't wait to return with friends - it left such a lasting impression that I would be back in a heartbeat. I'm excited to try additional plates. *After your meal there's an amazing bakery just across the street. It's a must try too!*"
41,"Love this place, you can count on this place for good, hearty, consistent Italian food. Their price is very approachable for the quality of food you pay for. Tiramisu is great! Usually packed so make sure you account for the wait! We always come after 9 and can find seats quickly."
42,"3.5/5 My friend discovered Bottega on a whim so he made a quick reservation on Resy. We were a party of 7 and at the time, their layout on the floor did not have a table for us but they were able to rearrange the tables to create a big enough table for us. They're very accommodating so we appreciated that. After a couple at the table next to us were done and left, the staff added their table to ours to create more space for us which worked out perfectly because 2 people in our party got added and it was just the right amount of table space. They have complimentary focaccia bread here with olive oil which we were very excited about. We ordered a few appetizers to start: funghi bruschetta, burrata aila caprese, pohodori bruschetta, and carciofi (artichoke hearts). All of these were great starters. I was the most impressed with the pohodori bruschetta which just looks like chopped tomatoes on bread but the tomatoes had so much flavor that you couldn't even taste the tomato flavor. The burrata was great paired with the complimentary bread. The carrciofi was delicious paired with the garlic aioli that comes with it. The truffle oil was very fragrant and strong on the funghi bruschetta but it was a crowd favorite. For the main dishes, I ordered the Spaghetti con Le Polpette which is your basic spaghetti and meatballs. I enjoyed the spaghetti noodles but thought the meatballs lacked something. My friends ordered the gnocchi in pink sauce and the meezelune al porcini and those were bomb. I enjoyed their dishes more than mine. The ambiance and service were pretty good though we did feel like the servers kept their eyes on us quite a lot near the end of our dinner. I definitely recommend to visit at least one time!"
